begin ; end ; doc_id ; buch ; quote ; coref ; overlap ;ek ;ek2 ; ds ; space; segnr ; em ; klasse ; xrange;;
31;50;53;1;Êrec;Erec;overlap_max;0;0;0;R_HOFART;1;null;"[""PER""]";"[{""endOffset"":50,""startOffset"":31,""start"":0,""end"":0}]";"[{""endOffset"":12,""startOffset"":8,""start"":""\/div[2]"",""end"":""\/div[2]""}]";310500
43;50;53;1;roi Lac;null;overlap;0;0;0;R_HOFART;1;null;"[""PER""]";"[{""endOffset"":27,""startOffset"":20,""start"":""23"",""end"":""23""}]";"[{""endOffset"":27,""startOffset"":20,""start"":""\/div[2]"",""end"":""\/div[2]""}]";430500
226;238;53;1;einen ritter;Idêrs;null;0;0;0;R_HOFART;1;null;"[""PER""]";"[{""endOffset"":12,""startOffset"":0,""start"":""226"",""end"":""226""}]";"[{""endOffset"":12,""startOffset"":0,""start"":""\/div[10]"",""end"":""\/div[10]""}]";2262380
257;268;53;1;ein getwerc;Maliclisier;overlap_max;0;0;0;R_HOFART;1;null;"[""PER""]";"[{""endOffset"":15,""startOffset"":4,""start"":""253"",""end"":""253""}]";"[{""endOffset"":15,""startOffset"":4,""start"":""\/div[11]"",""end"":""\/div[11]""}]";2572680
257;268;53;1;ein getwerc;Maliclisier;overlap;0;0;0;R_HOFART;1;null;"[""PER""]";"[{""endOffset"":15,""startOffset"":4,""start"":""253"",""end"":""253""}]";"[{""endOffset"":15,""startOffset"":4,""start"":""\/div[11]"",""end"":""\/div[11]""}]";2572681
282;305;53;1;eine juncvrouwen gemeit;null;overlap;0;0;0;R_HOFART;1;null;"[""PER""]";"[{""endOffset"":23,""startOffset"":0,""start"":""282"",""end"":""282""}]";"[{""endOffset"":23,""startOffset"":0,""start"":""\/div[12]"",""end"":""\/div[12]""}]";2823050
282;331;53;1;eine juncvrouwen gemeit,schoene unde wol gekleit;# unbestimmt (einzel);overlap_max;0;0;0;R_HOFART;1;null;"[""PER""]";"[{""endOffset"":24,""startOffset"":0,""start"":""282"",""end"":""307""}]";"[{""endOffset"":24,""startOffset"":0,""start"":""\/div[12]"",""end"":""\/div[13]""}]";2823310
345;356;53;1;die künegîn;Ginovêr;null;0;0;0;R_HOFART;1;null;"[""PER""]";"[{""endOffset"":23,""startOffset"":12,""start"":""333"",""end"":""333""}]";"[{""endOffset"":23,""startOffset"":12,""start"":""\/div[14]"",""end"":""\/div[14]""}]";3453560
361;371;53;1;der ritter;Idêrs;null;0;0;0;R_HOFART;1;null;"[""PER""]";"[{""endOffset"":14,""startOffset"":4,""start"":357,""end"":357}]";"[{""endOffset"":14,""startOffset"":4,""start"":""\/div[15]"",""end"":""\/div[15]""}]";3613710
432;450;53;1;Êrec der junge man;Erec;null;0;0;0;R_HOFART;1;null;"[""PER""]";"[{""endOffset"":18,""startOffset"":0,""start"":432,""end"":432}]";"[{""endOffset"":18,""startOffset"":0,""start"":""\/div[18]"",""end"":""\/div[18]""}]";4324500
451;462;53;1;sîn vrouwen;Ginovêr;overlap_max;0;0;0;R_HOFART;1;null;"[""PER""]";"[{""endOffset"":11,""startOffset"":0,""start"":""451"",""end"":""451""}]";"[{""endOffset"":11,""startOffset"":0,""start"":""\/div[19]"",""end"":""\/div[19]""}]";4514620
451;462;53;1;sîn vrouwen;Ginovêr;overlap;0;0;0;R_HOFART;1;null;"[""PER""]";"[{""endOffset"":11,""startOffset"":0,""start"":""451"",""end"":""451""}]";"[{""endOffset"":11,""startOffset"":0,""start"":""\/div[19]"",""end"":""\/div[19]""}]";4514621
497;507;53;1;diu vrouwe;Ginovêr;null;0;0;0;R_HOFART;1;null;"[""PER""]";"[{""endOffset"":10,""startOffset"":0,""start"":""497"",""end"":""497""}]";"[{""endOffset"":10,""startOffset"":0,""start"":""\/div[21]"",""end"":""\/div[21]""}]";4975070
552;567;53;1;ein juncvrouwen;# unbestimmt (einzel);overlap_max;0;0;0;R_HOFART;1;null;"[""PER""]";"[{""endOffset"":15,""startOffset"":0,""start"":""552"",""end"":""552""}]";"[{""endOffset"":15,""startOffset"":0,""start"":""\/div[23]"",""end"":""\/div[23]""}]";5525670
552;567;53;1;ein juncvrouwen;# unbestimmt (einzel);overlap;0;0;0;R_HOFART;1;null;"[""PER""]";"[{""endOffset"":15,""startOffset"":0,""start"":""552"",""end"":""552""}]";"[{""endOffset"":15,""startOffset"":0,""start"":""\/div[23]"",""end"":""\/div[23]""}]";5525671
642;652;53;1;der ritter;Idêrs;null;0;0;1;R_HOFART;1;null;"[""PER""]";"[{""endOffset"":14,""startOffset"":4,""start"":""638"",""end"":""638""}]";"[{""endOffset"":14,""startOffset"":4,""start"":""\/div[26]"",""end"":""\/div[26]""}]";6426520
666;690;53;1;sîn geverte, daz magedîn;# unbestimmt (einzel);overlap_max;0;0;1;R_HOFART;1;null;"[""PER""]";"[{""endOffset"":28,""startOffset"":4,""start"":""662"",""end"":""662""}]";"[{""endOffset"":28,""startOffset"":4,""start"":""\/div[27]"",""end"":""\/div[27]""}]";6666900
666;690;53;1;sîn geverte, daz magedîn;# unbestimmt (einzel);overlap;0;0;1;R_HOFART;1;null;"[""PER""]";"[{""endOffset"":28,""startOffset"":4,""start"":""662"",""end"":""662""}]";"[{""endOffset"":28,""startOffset"":4,""start"":""\/div[27]"",""end"":""\/div[27]""}]";6666901
693;707;53;1;diu juncvrouwe;# unbestimmt (einzel);null;0;0;0;R_HOFART;1;null;"[""PER""]";"[{""endOffset"":14,""startOffset"":0,""start"":""693"",""end"":""693""}]";"[{""endOffset"":14,""startOffset"":0,""start"":""\/div[28]"",""end"":""\/div[28]""}]";6937070
757;766;53;1;z getwerc;Maliclisier;overlap_max;0;0;0;R_HOFART;1;null;"[""PER""]";"[{""endOffset"":14,""startOffset"":5,""start"":""752"",""end"":""752""}]";"[{""endOffset"":14,""startOffset"":5,""start"":""\/div[30]"",""end"":""\/div[30]""}]";7577660
