begin ; end ; doc_id ; buch ; quote ; coref ; overlap ;ek ;ek2 ; ds ; space; segnr ; em ; klasse ; xrange;;
88;109;64;1;Artûs;Artûs;null;1;0;0;-;1;null;"[""PER""]";"[{""endOffset"":109,""startOffset"":88,""start"":0,""end"":0}]";"[{""endOffset"":11,""startOffset"":6,""start"":""\/div[5]"",""end"":""\/div[5]""}]";880109
485;494;64;1;Ein rîter;null;-1;1;0;0;-;1;null;"[""PER""]";"[{""endOffset"":9,""startOffset"":0,""start"":485,""end"":485}]";"[{""endOffset"":9,""startOffset"":0,""start"":""\/div[21]"",""end"":""\/div[21]""}]";4850494
679;686;64;1;Hartman;# extradiegetisch ;null;1;0;0;-;1;null;"[""PER""]";"[{""endOffset"":21,""startOffset"":14,""start"":665,""end"":665}]";"[{""endOffset"":21,""startOffset"":14,""start"":""\/div[28]"",""end"":""\/div[28]""}]";6790686
737;752;64;1;Artûs;Artûs;null;0;0;0;R_HOFART;2;null;"[""PER""]";"[{""endOffset"":752,""startOffset"":737,""start"":0,""end"":0}]";"[{""endOffset"":23,""startOffset"":18,""start"":""\/div[31]"",""end"":""\/div[31]""}]";7370752
1009;1026;64;1;manec guot ritter;# unbestimmt (multi) ;null;0;0;0;R_HOFART;2;null;"[""PER""]";"[{""endOffset"":20,""startOffset"":3,""start"":1006,""end"":1006}]";"[{""endOffset"":20,""startOffset"":3,""start"":""\/div[43]"",""end"":""\/div[43]""}]";10091026
1124;1144;64;1;manec maget unde wîp;# unbestimmt (multi) ;overlap;0;0;0;R_HOFART;2;null;"[""PER""]";"[{""endOffset"":20,""startOffset"":0,""start"":1124,""end"":1124}]";"[{""endOffset"":20,""startOffset"":0,""start"":""\/div[47]"",""end"":""\/div[47]""}]";11241144
1124;1175;64;1;manec maget unde wîp,die schoensten von den rîchen;# unbestimmt (multi) ;overlap_max;0;0;0;R_HOFART;2;null;"[""PER""]";"[{""endOffset"":29,""startOffset"":0,""start"":""1124"",""end"":""1146""}]";"[{""endOffset"":29,""startOffset"":0,""start"":""\/div[47]"",""end"":""\/div[48]""}]";11241175
1488;1493;64;1;Artûs;Artûs;null;0;0;0;R_HOFART;2;null;"[""PER""]";"[{""endOffset"":5,""startOffset"":0,""start"":1488,""end"":1488}]";"[{""endOffset"":5,""startOffset"":0,""start"":""\/div[60]"",""end"":""\/div[60]""}]";14881493
1498;1509;64;1;diu künegin;Ginover;null;0;0;0;R_HOFART;2;null;"[""PER""]";"[{""endOffset"":21,""startOffset"":10,""start"":""1488"",""end"":""1488""}]";"[{""endOffset"":21,""startOffset"":10,""start"":""\/div[60]"",""end"":""\/div[60]""}]";14981509
1867;1873;64;1;Gâwein;Gâwein;null;0;0;0;R_HOFART;3;null;"[""PER""]";"[{""endOffset"":6,""startOffset"":0,""start"":1867,""end"":1867}]";"[{""endOffset"":6,""startOffset"":0,""start"":""\/div[74]"",""end"":""\/div[74]""}]";18671873
