begin ; end ; doc_id ; buch ; quote ; coref ; overlap ;ek ;ek2 ; ds ; space; segnr ; em ; klasse ; xrange;;
3127;3135;6;1;den helt;Parzivâl;null;1;0;0;-;4;null;"[""PER""]";"[{""endOffset"":9,""startOffset"":1,""start"":3126,""end"":3126}]";"[{""endOffset"":9,""startOffset"":1,""start"":""\/div[112]"",""end"":""\/div[112]""}]";31273135
4097;4143;6;1;der kiusche und der vrecheGahmuret der wîgant;Gahmuret;overlap_max;0;0;0;R_HOF;5;null;"[""PER""]";"[{""endOffset"":19,""startOffset"":0,""start"":""4097"",""end"":""4124""}]";"[{""endOffset"":19,""startOffset"":0,""start"":""\/div[146]"",""end"":""\/div[147]""}]";40974143
4113;4143;6;1;der vreche Gahmuret der wîgant;null;overlap;0;0;0;R_HOF;5;null;"[""PER""]";"[{""endOffset"":19,""startOffset"":16,""start"":4097,""end"":4124}]";"[{""endOffset"":19,""startOffset"":16,""start"":""\/div[146]"",""end"":""\/div[147]""}]";41134143
4175;4184;6;1;sîn vater;Gandîn;null;0;0;0;R_HOF;5;null;"[""PER""]";"[{""endOffset"":12,""startOffset"":3,""start"":4172,""end"":4172}]";"[{""endOffset"":12,""startOffset"":3,""start"":""\/div[149]"",""end"":""\/div[149]""}]";41754184
4352;4365;6;1;sîn elter sun;Gâlôes;null;0;0;0;R_HOF;6;null;"[""PER""]";"[{""endOffset"":13,""startOffset"":0,""start"":4352,""end"":4352}]";"[{""endOffset"":13,""startOffset"":0,""start"":""\/div[157]"",""end"":""\/div[157]""}]";43524365
4381;4403;6;1;den vürsten ûzem rîche;# unbestimmt (multi);null;0;0;0;R_HOF;6;null;"[""PER""]";"[{""endOffset"":22,""startOffset"":0,""start"":4381,""end"":4381}]";"[{""endOffset"":22,""startOffset"":0,""start"":""\/div[158]"",""end"":""\/div[158]""}]";43814403
4631;4658;6;1;rîch und arme, gar diu diet;# unbestimmt (multi);null;0;0;0;R_HOF;6;null;"[""PER""]";"[{""endOffset"":27,""startOffset"":0,""start"":4631,""end"":4631}]";"[{""endOffset"":27,""startOffset"":0,""start"":""\/div[167]"",""end"":""\/div[167]""}]";46314658
4696;4705;6;1;der künec;Gâlôes;null;0;0;0;R_HOF;6;null;"[""PER""]";"[{""endOffset"":13,""startOffset"":4,""start"":4692,""end"":4692}]";"[{""endOffset"":13,""startOffset"":4,""start"":""\/div[169]"",""end"":""\/div[169]""}]";46964705
4709;4718;6;1;Gahmurete;Gahmuret;null;0;0;0;R_HOF;6;null;"[""PER""]";"[{""endOffset"":26,""startOffset"":17,""start"":4692,""end"":4692}]";"[{""endOffset"":26,""startOffset"":17,""start"":""\/div[169]"",""end"":""\/div[169]""}]";47094718
4865;4874;6;1;der hêrre;Gahmuret;null;0;0;0;R_HOF;6;null;"[""PER""]";"[{""endOffset"":16,""startOffset"":7,""start"":4858,""end"":4858}]";"[{""endOffset"":16,""startOffset"":7,""start"":""\/div[175]"",""end"":""\/div[175]""}]";48654874
4925;4935;6;1;dem künege;Gâlôes;null;0;0;0;R_HOF;6;null;"[""PER""]";"[{""endOffset"":18,""startOffset"":8,""start"":4917,""end"":4917}]";"[{""endOffset"":18,""startOffset"":8,""start"":""\/div[177]"",""end"":""\/div[177]""}]";49254935
5030;5045;6;1;den bruoder mîn;null;overlap;0;0;1;R_HOF;6;null;"[""PER""]";"[{""endOffset"":29,""startOffset"":14,""start"":5016,""end"":5016}]";"[{""endOffset"":29,""startOffset"":14,""start"":""\/div[180]"",""end"":""\/div[180]""}]";50305045
5030;5064;6;1;Gahmuret;Gahmuret;overlap_max;0;0;1;R_HOF;6;null;"[""PER""]";"[{""endOffset"":5064,""startOffset"":5030,""start"":0,""end"":0}]";"[{""endOffset"":8,""startOffset"":0,""start"":""\/div[181]"",""end"":""\/div[181]""}]";50305064
5129;5142;6;1;der künec;Gâlôes;null;0;0;0;R_HOF;6;null;"[""PER""]";"[{""endOffset"":5142,""startOffset"":5129,""start"":0,""end"":0}]";"[{""endOffset"":20,""startOffset"":11,""start"":""\/div[184]"",""end"":""\/div[184]""}]";51295142
